Te_requested_eV,ne_requested_cm-3,DeltaTe_requested_eV,Te_old_grid_eV,Te_new_grid_eV,DeltaTe_actual_eV,ne_grid_cm-3,ti_old,ti_new,ni,ratio_QSS_old,ratio_QSS_new,initial_ratio_error_percent_signed,peak_ratio_error_percent_abs,peak_ratio_error_percent_signed,t_peak_ratio_ns,peak_Halpha_error_percent_abs,peak_Hbeta_error_percent_abs,last_t_ratio_abs_error_gt_1pct_us,last_t_ratio_abs_error_gt_5pct_us,last_t_ratio_abs_error_gt_10pct_us,censored_gt_1pct,censored_gt_5pct,censored_gt_10pct,tau_slow_us,tau_fast_ns,M_tau_slow_over_tau_fast,last_t_ratio_abs_error_gt_10pct_display
1.676832936811008,138949549437313.6,0.6,1.676832936811008,2.329951810515372,0.6531188737043641,138949549437313.6,11,18,5,4.744310719485166,4.289611026092691,10.60002155502306,181.491422110675,181.491422110675,26.968806263906924,379.89642389876457,88.73146149888255,416.13905533166985,301.2714070881158,250.49415421745024,False,False,False,73.59231938383975,2.4814550587972364,29656.92210420688,250 us
1.676832936811008,372759372031493.8,0.6,1.676832936811008,2.329951810515372,0.6531188737043641,372759372031493.8,11,18,6,4.538344574533969,4.084107489509267,11.122064886673124,130.09569231984338,130.09569231984338,17.00046975206718,209.41422419420888,88.65474793503078,99.53962309984244,68.8137698641567,54.635503522148646,False,False,False,20.084320934533913,1.8048386461967991,11128.04237478851,54.6 us
1.676832936811008,1000000000000000.0,0.6,1.676832936811008,2.329951810515372,0.6531188737043641,1000000000000000.0,11,18,7,4.440887982901075,3.985598258540716,11.423372222343824,80.95645697837172,80.95645697837172,11.222773562085072,112.40895471103924,88.73972714912327,22.73596682327715,15.009032755797335,11.37921293915314,False,False,False,5.167631527804107,1.391269077479672,3714.3293209430312,11.4 us
1.7575106248547918,1000000000000.0,0.6,1.7575106248547918,2.329951810515372,0.5724411856605802,1000000000000.0,12,18,0,5.1636226499960465,4.809219424693725,7.369246316410061,58.556451217045016,58.556451217045016,13.944231677928824,709.1935194235625,568.9543313764705,1000.0,1000.0,1000.0,True,True,True,25358.298519091073,33.09028513255663,766336.6579498505,>1e+03 us (censored at t_max)
1.7575106248547918,2682695795279.7275,0.6,1.7575106248547918,2.329951810515372,0.5724411856605802,2682695795279.7275,12,18,1,5.43885603735298,5.092109729289297,6.809482247981093,67.93085389569524,67.93085389569524,12.889036123908914,684.6134621273685,448.6512209512936,1000.0,1000.0,1000.0,True,True,True,8378.948888213816,19.743775184988145,424384.3342880348,>1e+03 us (censored at t_max)
1.7575106248547918,7196856730011.528,0.6,1.7575106248547918,2.329951810515372,0.5724411856605802,7196856730011.528,12,18,2,5.594470381827112,5.2468001698447955,6.626328442628639,87.30370757773805,87.30370757773805,22.423396832198453,633.8208607537227,298.9795532684161,1000.0,1000.0,1000.0,True,True,True,2701.582934736992,11.179774805402596,241649.13710350048,>1e+03 us (censored at t_max)
1.7575106248547918,19306977288832.457,0.6,1.7575106248547918,2.329951810515372,0.5724411856605802,19306977288832.457,12,18,3,5.426366545193124,5.063309812990089,7.170344016311324,134.60756765790367,134.60756765790367,81.62508514287221,538.5353572810469,172.1716884217944,1000.0,1000.0,1000.0,True,True,True,842.7149545891934,7.286079280274924,115660.9641718578,>1e+03 us (censored at t_max)
1.7575106248547918,51794746792312.02,0.6,1.7575106248547918,2.329951810515372,0.5724411856605802,51794746792312.02,12,18,4,5.023255414772177,4.648913400493889,8.052247526024335,158.60098771295367,158.60098771295367,51.45443878390925,391.0917672072985,89.90338615397184,1000.0,1000.0,831.4567805772047,True,True,False,253.33567962950724,4.681496940638104,54114.24654161511,831 us
1.7575106248547918,138949549437313.6,0.6,1.7575106248547918,2.329951810515372,0.5724411856605802,138949549437313.6,12,18,5,4.6655129420960835,4.289611026092691,8.763076971708294,134.3477910858993,134.3477910858993,25.752633267711985,237.69710396189288,71.6788807453704,379.4532847236942,262.3237882163124,208.275063019051,False,False,False,73.59231938383975,2.4814550587972364,29656.92210420688,208 us
1.7575106248547918,372759372031493.8,0.6,1.7575106248547918,2.329951810515372,0.5724411856605802,372759372031493.8,12,18,6,4.4600054103953015,4.084107489509267,9.20391840448844,89.9661497112759,89.9661497112759,16.23382431612278,130.89922445807554,71.78637930626451,90.76446072885356,59.91769669310613,47.5723613918789,False,False,False,20.084320934533913,1.8048386461967991,11128.04237478851,47.6 us
1.7575106248547918,1000000000000000.0,0.6,1.7575106248547918,2.329951810515372,0.5724411856605802,1000000000000000.0,12,18,7,4.362612038871739,3.985598258540716,9.459402475478369,53.514651995783105,53.514651995783105,10.71667648032862,88.11074087134449,71.85434655874903,20.73162127401227,12.479362054713114,9.034660211810516,False,False,False,5.167631527804107,1.391269077479672,3714.3293209430312,9.03 us
1.842069969326716,1000000000000.0,0.6,1.842069969326716,2.442053094548651,0.5999831252219352,1000000000000.0,13,19,0,5.092723140687147,4.764575519558688,6.887237273948191,55.433067042107794,55.433067042107794,14.104869025203651,638.535252914009,511.50606514381553,1000.0,1000.0,1000.0,True,True,True,19154.417648432813,32.942825457805746,581444.2866464634,>1e+03 us (censored at t_max)
1.842069969326716,2682695795279.7275,0.6,1.842069969326716,2.442053094548651,0.5999831252219352,2682695795279.7275,13,19,1,5.368997521602504,5.0490736269324055,6.336288957316614,64.5389422148839,64.5389422148839,13.497723302339418,616.3481589488971,402.4934550602298,1000.0,1000.0,1000.0,True,True,True,6352.396917285685,19.57575578207709,324503.27783010696,>1e+03 us (censored at t_max)
1.842069969326716,7196856730011.528,0.6,1.842069969326716,2.442053094548651,0.5999831252219352,7196856730011.528,13,19,2,5.5243789430461705,5.20376238950916,6.161245067287975,84.64636799828236,84.64636799828236,24.591304254680413,570.0649064947078,267.6601594207967,1000.0,1000.0,1000.0,True,True,True,2056.9170147082664,11.051774242343388,186116.4523997844,>1e+03 us (censored at t_max)
1.842069969326716,19306977288832.457,0.6,1.842069969326716,2.442053094548651,0.5999831252219352,19306977288832.457,13,19,3,5.353934082638066,5.017454381259619,6.706183570601366,129.70279072965897,129.70279072965897,81.62508514287221,483.167380357819,153.8791011225277,1000.0,1000.0,1000.0,True,True,True,644.7445500326531,7.219656451401053,89304.04851986184,>1e+03 us (censored at t_max)
1.842069969326716,51794746792312.02,0.6,1.842069969326716,2.442053094548651,0.5999831252219352,51794746792312.02,13,19,4,4.949419161932974,4.600556353509171,7.583056952616207,149.51326605749446,149.51326605749446,49.13407286296357,349.48628924471643,80.14537711754033,1000.0,758.1576457522118,630.3753153071268,True,False,False,194.94050504095333,4.6109019539621325,42278.17181700028,630 us
1.842069969326716,138949549437313.6,0.6,1.842069969326716,2.442053094548651,0.5999831252219352,138949549437313.6,13,19,5,4.591891774082165,4.2403544135578715,8.290282515072505,123.84157352602024,123.84157352602024,25.752633267711985,211.53055212370947,70.70926597819093,287.68540901905857,198.8827856988812,157.90533144741727,False,False,False,56.96899631550063,2.4359491406748908,23386.77575990651,158 us
